date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,0,0,0,67.14,0,681605525.0
2020-09-29,0,0,0,61.2,0,620846616.0
2020-09-28,0,0,0,56.33,0,571037153.0
2020-09-27,0,0,0,55.52,0,562439861.0
2020-09-26,0,0,0,56.42,0,571130774.0
2020-09-25,0,0,0,54.94,0,555811446.0
2020-09-24,0,0,0,55.02,0,556182322.0
2020-09-23,0,0,0,51.95,0,524823851.0
2020-09-22,0,0,0,53.46,0,539621746.0
2020-09-21,0,0,0,52.11,0,525692790.0
2020-09-20,0,0,0,57.63,0,580933374.0
2020-09-19,0,0,0,58.0,0,584287228.0
2020-09-18,0,0,0,57.83,0,582117865.0
2020-09-17,0,0,0,59.6,0,599508572.0
2020-09-16,0,0,0,58.46,0,587643732.0
2020-09-15,0,0,0,59.5,0,597711938.0
2020-09-14,0,0,0,63.32,0,635588120.0
2020-09-13,0,0,0,62.6,0,627940205.0
2020-09-12,0,0,0,65.99,0,661425583.0
2020-09-11,0,0,0,63.43,0,635347483.0
2020-09-10,0,0,0,62.49,0,625484205.0
2020-09-09,0,0,0,60.02,0,600310168.0
2020-09-08,0,0,0,59.04,0,590077076.0
2020-09-07,0,0,0,61.98,0,619011721.0
2020-09-06,0,0,0,58.92,0,588046856.0
2020-09-05,0,0,0,55.36,0,552135609.0
2020-09-04,0,0,0,60.04,0,598327970.0
2020-09-03,0,0,0,57.08,0,568415041.0
2020-09-02,0,0,0,77.03,0,766528372.0
2020-09-01,0,0,0,83.32,0,828530260.0
2020-08-31,0,0,0,79.5,0,790045424.0
2020-08-30,0,0,0,81.49,0,809189301.0
2020-08-29,0,0,0,79.89,0,792694881.0
2020-08-28,0,0,0,77.61,0,769595115.0
2020-08-27,0,0,0,74.34,0,736579745.0
2020-08-26,0,0,0,76.55,0,757903704.0
2020-08-25,0,0,0,74.62,0,738266765.0
2020-08-24,0,0,0,80.79,0,798819968.0
2020-08-23,0,0,0,83.61,0,826069957.0
2020-08-22,0,0,0,78.32,0,773218677.0
2020-08-21,0,0,0,75.66,0,746392541.0
2020-08-20,0,0,0,79.53,0,784085376.0
2020-08-19,0,0,0,77.12,0,759746473.0
2020-08-18,0,0,0,83.25,0,819509587.0
2020-08-17,0,0,0,85.74,0,843407025.0
2020-08-16,0,0,0,84.39,0,829575584.0
2020-08-15,0,0,0,84.71,0,832028134.0
2020-08-14,0,0,0,84.5,0,829373950.0
2020-08-13,0,0,0,87.49,0,858121218.0
