,Date,Value
591,2010-08-16,0.0769
593,2010-08-18,0.0688
594,2010-08-19,0.0667
595,2010-08-20,0.07
596,2010-08-21,0.0664
597,2010-08-22,0.066
598,2010-08-23,0.07
599,2010-08-24,0.0665
600,2010-08-25,0.066499
601,2010-08-26,0.07
602,2010-08-27,0.065
603,2010-08-28,0.0648
604,2010-08-29,0.06
605,2010-08-30,0.06497
606,2010-08-31,0.0649
607,2010-09-01,0.06
608,2010-09-02,0.0634
609,2010-09-03,0.0613
610,2010-09-04,0.06
611,2010-09-05,0.064
612,2010-09-06,0.06185
613,2010-09-07,0.06
614,2010-09-08,0.0624
615,2010-09-09,0.06201
616,2010-09-10,0.06
617,2010-09-11,0.064999
618,2010-09-12,0.06201
619,2010-09-13,0.06
620,2010-09-14,0.175
621,2010-09-15,0.0619
622,2010-09-16,0.15
623,2010-09-17,0.0609
624,2010-09-18,0.062599
625,2010-09-19,0.06
626,2010-09-20,0.0633
627,2010-09-21,0.0628
628,2010-09-22,0.06
629,2010-09-23,0.06281
630,2010-09-24,0.0624
631,2010-09-25,0.06
632,2010-09-26,0.062206
633,2010-09-27,0.06271
634,2010-09-28,0.06
635,2010-09-29,0.06192
636,2010-09-30,0.061999
637,2010-10-01,0.06
638,2010-10-02,0.0614
639,2010-10-03,0.062
640,2010-10-04,0.06
641,2010-10-05,0.0633
642,2010-10-06,0.0638
643,2010-10-07,0.06
644,2010-10-08,0.12001
645,2010-10-09,0.12
646,2010-10-10,0.12
647,2010-10-11,0.099
648,2010-10-12,0.095
649,2010-10-13,0.1
650,2010-10-14,0.119
651,2010-10-15,0.109
652,2010-10-16,0.12
653,2010-10-17,0.103
654,2010-10-18,0.1024
655,2010-10-19,0.1
656,2010-10-20,0.109
657,2010-10-21,0.107
658,2010-10-22,0.11
659,2010-10-23,0.19
660,2010-10-24,0.15
661,2010-10-25,0.18
662,2010-10-26,0.19
663,2010-10-27,0.19001
664,2010-10-28,0.19
665,2010-10-29,0.1919
666,2010-10-30,0.199
667,2010-10-31,0.19
668,2010-11-01,0.1955
669,2010-11-02,0.275
670,2010-11-03,0.21
671,2010-11-04,0.2399
672,2010-11-05,0.29
673,2010-11-06,0.25
674,2010-11-07,0.37
675,2010-11-08,0.3368
676,2010-11-09,0.36
677,2010-11-10,0.24
678,2010-11-11,0.251
679,2010-11-12,0.24
680,2010-11-13,0.299
681,2010-11-14,0.2828
682,2010-11-15,0.3
683,2010-11-16,0.28
684,2010-11-17,0.289999
685,2010-11-18,0.28
686,2010-11-19,0.289
687,2010-11-20,0.29
688,2010-11-21,0.29
689,2010-11-22,0.2879
690,2010-11-23,0.28299
691,2010-11-24,0.29
692,2010-11-25,0.289
693,2010-11-26,0.284399
694,2010-11-27,0.29
695,2010-11-28,0.279
696,2010-11-29,0.275
697,2010-11-30,0.28
698,2010-12-01,0.25
699,2010-12-02,0.2553
700,2010-12-03,0.25
701,2010-12-04,0.235
702,2010-12-05,0.225
703,2010-12-06,0.23
704,2010-12-07,0.2477
705,2010-12-08,0.2388
706,2010-12-09,0.25
707,2010-12-10,0.2275
708,2010-12-11,0.228
709,2010-12-12,0.23
710,2010-12-13,0.23
711,2010-12-14,0.2468
712,2010-12-15,0.23
713,2010-12-16,0.255
714,2010-12-17,0.249
715,2010-12-18,0.25
716,2010-12-19,0.275
